week_end,condition,percent_visits,age_group,age_min,age_max,is_overall
23-12-2023,Acute upper respiratory infection,2,Adults 50-64,50,64,FALSE
23-12-2023,Acute upper respiratory infection,1.3,Seniors 65+,65,,FALSE
23-12-2023,Acute upper respiratory infection,4,Overall,,,TRUE
30-12-2023,Acute upper respiratory infection,14.8,Infants 0-1,0,1,FALSE
30-12-2023,Acute upper respiratory infection,12.6,Kids 2-4,2,4,FALSE
30-12-2023,Acute upper respiratory infection,7.3,Kids 5-17,5,17,FALSE
30-12-2023,Acute upper respiratory infection,3.4,Adults 18-49,18,49,FALSE
30-12-2023,Acute upper respiratory infection,2.4,Adults 50-64,50,64,FALSE
30-12-2023,Acute upper respiratory infection,1.6,Seniors 65+,65,,FALSE
30-12-2023,Acute upper respiratory infection,4.1,Overall,,,TRUE
06-01-2024,Acute upper respiratory infection,14.6,Infants 0-1,0,1,FALSE
06-01-2024,Acute upper respiratory infection,11.5,Kids 2-4,2,4,FALSE
06-01-2024,Acute upper respiratory infection,5.7,Kids 5-17,5,17,FALSE
06-01-2024,Acute upper respiratory infection,3.3,Adults 18-49,18,49,FALSE
06-01-2024,Acute upper respiratory infection,2.4,Adults 50-64,50,64,FALSE
06-01-2024,Acute upper respiratory infection,1.6,Seniors 65+,65,,FALSE
06-01-2024,Acute upper respiratory infection,3.7,Overall,,,TRUE
13-01-2024,Acute upper respiratory infection,13.3,Infants 0-1,0,1,FALSE
13-01-2024,Acute upper respiratory infection,10.6,Kids 2-4,2,4,FALSE
13-01-2024,Acute upper respiratory infection,5,Kids 5-17,5,17,FALSE
13-01-2024,Acute upper respiratory infection,2.7,Adults 18-49,18,49,FALSE
13-01-2024,Acute upper respiratory infection,1.9,Adults 50-64,50,64,FALSE
13-01-2024,Acute upper respiratory infection,1.2,Seniors 65+,65,,FALSE
13-01-2024,Acute upper respiratory infection,3.1,Overall,,,TRUE
20-01-2024,Acute upper respiratory infection,13.1,Infants 0-1,0,1,FALSE
20-01-2024,Acute upper respiratory infection,10.4,Kids 2-4,2,4,FALSE
20-01-2024,Acute upper respiratory infection,5.2,Kids 5-17,5,17,FALSE
20-01-2024,Acute upper respiratory infection,2.4,Adults 18-49,18,49,FALSE
20-01-2024,Acute upper respiratory infection,1.6,Adults 50-64,50,64,FALSE
20-01-2024,Acute upper respiratory infection,0.9,Seniors 65+,65,,FALSE
20-01-2024,Acute upper respiratory infection,2.8,Overall,,,TRUE
27-01-2024,Acute upper respiratory infection,12.3,Infants 0-1,0,1,FALSE
27-01-2024,Acute upper respiratory infection,10,Kids 2-4,2,4,FALSE
27-01-2024,Acute upper respiratory infection,5.1,Kids 5-17,5,17,FALSE
27-01-2024,Acute upper respiratory infection,2.2,Adults 18-49,18,49,FALSE
27-01-2024,Acute upper respiratory infection,1.5,Adults 50-64,50,64,FALSE
27-01-2024,Acute upper respiratory infection,0.8,Seniors 65+,65,,FALSE
27-01-2024,Acute upper respiratory infection,2.6,Overall,,,TRUE
03-02-2024,Acute upper respiratory infection,12.5,Infants 0-1,0,1,FALSE
03-02-2024,Acute upper respiratory infection,10.5,Kids 2-4,2,4,FALSE
03-02-2024,Acute upper respiratory infection,5.8,Kids 5-17,5,17,FALSE
03-02-2024,Acute upper respiratory infection,2.1,Adults 18-49,18,49,FALSE
03-02-2024,Acute upper respiratory infection,1.4,Adults 50-64,50,64,FALSE
03-02-2024,Acute upper respiratory infection,0.8,Seniors 65+,65,,FALSE
03-02-2024,Acute upper respiratory infection,2.8,Overall,,,TRUE
10-02-2024,Acute upper respiratory infection,13.4,Infants 0-1,0,1,FALSE
10-02-2024,Acute upper respiratory infection,11.2,Kids 2-4,2,4,FALSE
10-02-2024,Acute upper respiratory infection,6.1,Kids 5-17,5,17,FALSE
10-02-2024,Acute upper respiratory infection,2.3,Adults 18-49,18,49,FALSE
10-02-2024,Acute upper respiratory infection,1.4,Adults 50-64,50,64,FALSE
10-02-2024,Acute upper respiratory infection,0.8,Seniors 65+,65,,FALSE
10-02-2024,Acute upper respiratory infection,3,Overall,,,TRUE
17-02-2024,Acute upper respiratory infection,14,Infants 0-1,0,1,FALSE
17-02-2024,Acute upper respiratory infection,10.9,Kids 2-4,2,4,FALSE
17-02-2024,Acute upper respiratory infection,6.2,Kids 5-17,5,17,FALSE
17-02-2024,Acute upper respiratory infection,2.3,Adults 18-49,18,49,FALSE
17-02-2024,Acute upper respiratory infection,1.4,Adults 50-64,50,64,FALSE
17-02-2024,Acute upper respiratory infection,0.8,Seniors 65+,65,,FALSE
17-02-2024,Acute upper respiratory infection,2.9,Overall,,,TRUE
24-02-2024,Acute upper respiratory infection,14.4,Infants 0-1,0,1,FALSE
24-02-2024,Acute upper respiratory infection,11.1,Kids 2-4,2,4,FALSE
24-02-2024,Acute upper respiratory infection,6,Kids 5-17,5,17,FALSE
24-02-2024,Acute upper respiratory infection,2.4,Adults 18-49,18,49,FALSE
24-02-2024,Acute upper respiratory infection,1.5,Adults 50-64,50,64,FALSE
24-02-2024,Acute upper respiratory infection,0.9,Seniors 65+,65,,FALSE
24-02-2024,Acute upper respiratory infection,3,Overall,,,TRUE
02-03-2024,Acute upper respiratory infection,14.2,Infants 0-1,0,1,FALSE
02-03-2024,Acute upper respiratory infection,10.6,Kids 2-4,2,4,FALSE
02-03-2024,Acute upper respiratory infection,5.5,Kids 5-17,5,17,FALSE
02-03-2024,Acute upper respiratory infection,2.3,Adults 18-49,18,49,FALSE
02-03-2024,Acute upper respiratory infection,1.4,Adults 50-64,50,64,FALSE
02-03-2024,Acute upper respiratory infection,0.8,Seniors 65+,65,,FALSE
02-03-2024,Acute upper respiratory infection,2.9,Overall,,,TRUE
09-03-2024,Acute upper respiratory infection,13.6,Infants 0-1,0,1,FALSE
09-03-2024,Acute upper respiratory infection,10.6,Kids 2-4,2,4,FALSE
09-03-2024,Acute upper respiratory infection,5.4,Kids 5-17,5,17,FALSE
09-03-2024,Acute upper respiratory infection,2,Adults 18-49,18,49,FALSE
09-03-2024,Acute upper respiratory infection,1.3,Adults 50-64,50,64,FALSE
09-03-2024,Acute upper respiratory infection,0.8,Seniors 65+,65,,FALSE
09-03-2024,Acute upper respiratory infection,2.7,Overall,,,TRUE
16-03-2024,Acute upper respiratory infection,14.1,Infants 0-1,0,1,FALSE
16-03-2024,Acute upper respiratory infection,10.9,Kids 2-4,2,4,FALSE
16-03-2024,Acute upper respiratory infection,5.2,Kids 5-17,5,17,FALSE
16-03-2024,Acute upper respiratory infection,1.9,Adults 18-49,18,49,FALSE
16-03-2024,Acute upper respiratory infection,1.2,Adults 50-64,50,64,FALSE
16-03-2024,Acute upper respiratory infection,0.7,Seniors 65+,65,,FALSE
16-03-2024,Acute upper respiratory infection,2.6,Overall,,,TRUE
23-03-2024,Acute upper respiratory infection,14.4,Infants 0-1,0,1,FALSE
23-03-2024,Acute upper respiratory infection,10.9,Kids 2-4,2,4,FALSE
23-03-2024,Acute upper respiratory infection,5.1,Kids 5-17,5,17,FALSE
23-03-2024,Acute upper respiratory infection,1.9,Adults 18-49,18,49,FALSE
23-03-2024,Acute upper respiratory infection,1.2,Adults 50-64,50,64,FALSE
23-03-2024,Acute upper respiratory infection,0.7,Seniors 65+,65,,FALSE
23-03-2024,Acute upper respiratory infection,2.6,Overall,,,TRUE
30-03-2024,Acute upper respiratory infection,14.5,Infants 0-1,0,1,FALSE
30-03-2024,Acute upper respiratory infection,10.6,Kids 2-4,2,4,FALSE
30-03-2024,Acute upper respiratory infection,4.8,Kids 5-17,5,17,FALSE
30-03-2024,Acute upper respiratory infection,1.8,Adults 18-49,18,49,FALSE
30-03-2024,Acute upper respiratory infection,1.1,Adults 50-64,50,64,FALSE
30-03-2024,Acute upper respiratory infection,0.7,Seniors 65+,65,,FALSE
30-03-2024,Acute upper respiratory infection,2.5,Overall,,,TRUE
06-04-2024,Acute upper respiratory infection,14.3,Infants 0-1,0,1,FALSE
06-04-2024,Acute upper respiratory infection,10.2,Kids 2-4,2,4,FALSE
06-04-2024,Acute upper respiratory infection,4.3,Kids 5-17,5,17,FALSE
06-04-2024,Acute upper respiratory infection,1.8,Adults 18-49,18,49,FALSE
06-04-2024,Acute upper respiratory infection,1.2,Adults 50-64,50,64,FALSE
06-04-2024,Acute upper respiratory infection,0.8,Seniors 65+,65,,FALSE
06-04-2024,Acute upper respiratory infection,2.4,Overall,,,TRUE
13-04-2024,Acute upper respiratory infection,14.2,Infants 0-1,0,1,FALSE
13-04-2024,Acute upper respiratory infection,10.1,Kids 2-4,2,4,FALSE
13-04-2024,Acute upper respiratory infection,4.2,Kids 5-17,5,17,FALSE
13-04-2024,Acute upper respiratory infection,1.7,Adults 18-49,18,49,FALSE
13-04-2024,Acute upper respiratory infection,1.1,Adults 50-64,50,64,FALSE
13-04-2024,Acute upper respiratory infection,0.7,Seniors 65+,65,,FALSE
13-04-2024,Acute upper respiratory infection,2.3,Overall,,,TRUE
20-04-2024,Acute upper respiratory infection,13.7,Infants 0-1,0,1,FALSE
20-04-2024,Acute upper respiratory infection,9.5,Kids 2-4,2,4,FALSE
20-04-2024,Acute upper respiratory infection,4,Kids 5-17,5,17,FALSE
20-04-2024,Acute upper respiratory infection,1.5,Adults 18-49,18,49,FALSE
20-04-2024,Acute upper respiratory infection,1,Adults 50-64,50,64,FALSE
20-04-2024,Acute upper respiratory infection,0.7,Seniors 65+,65,,FALSE
20-04-2024,Acute upper respiratory infection,2.2,Overall,,,TRUE
27-04-2024,Acute upper respiratory infection,14,Infants 0-1,0,1,FALSE
27-04-2024,Acute upper respiratory infection,9.9,Kids 2-4,2,4,FALSE
27-04-2024,Acute upper respiratory infection,4.5,Kids 5-17,5,17,FALSE
27-04-2024,Acute upper respiratory infection,1.6,Adults 18-49,18,49,FALSE
27-04-2024,Acute upper respiratory infection,1,Adults 50-64,50,64,FALSE
27-04-2024,Acute upper respiratory infection,0.7,Seniors 65+,65,,FALSE
27-04-2024,Acute upper respiratory infection,2.3,Overall,,,TRUE
04-05-2024,Acute upper respiratory infection,13.6,Infants 0-1,0,1,FALSE
04-05-2024,Acute upper respiratory infection,9.4,Kids 2-4,2,4,FALSE
04-05-2024,Acute upper respiratory infection,4.3,Kids 5-17,5,17,FALSE
04-05-2024,Acute upper respiratory infection,1.5,Adults 18-49,18,49,FALSE
04-05-2024,Acute upper respiratory infection,0.9,Adults 50-64,50,64,FALSE
04-05-2024,Acute upper respiratory infection,0.6,Seniors 65+,65,,FALSE
04-05-2024,Acute upper respiratory infection,2.2,Overall,,,TRUE
11-05-2024,Acute upper respiratory infection,13.6,Infants 0-1,0,1,FALSE
11-05-2024,Acute upper respiratory infection,9.1,Kids 2-4,2,4,FALSE
11-05-2024,Acute upper respiratory infection,4.2,Kids 5-17,5,17,FALSE
11-05-2024,Acute upper respiratory infection,1.5,Adults 18-49,18,49,FALSE
11-05-2024,Acute upper respiratory infection,0.9,Adults 50-64,50,64,FALSE
11-05-2024,Acute upper respiratory infection,0.6,Seniors 65+,65,,FALSE
11-05-2024,Acute upper respiratory infection,2.1,Overall,,,TRUE
18-05-2024,Acute upper respiratory infection,12.9,Infants 0-1,0,1,FALSE
18-05-2024,Acute upper respiratory infection,8.7,Kids 2-4,2,4,FALSE
18-05-2024,Acute upper respiratory infection,4,Kids 5-17,5,17,FALSE
18-05-2024,Acute upper respiratory infection,1.5,Adults 18-49,18,49,FALSE
18-05-2024,Acute upper respiratory infection,0.9,Adults 50-64,50,64,FALSE
18-05-2024,Acute upper respiratory infection,0.6,Seniors 65+,65,,FALSE
18-05-2024,Acute upper respiratory infection,2.1,Overall,,,TRUE
25-05-2024,Acute upper respiratory infection,12.6,Infants 0-1,0,1,FALSE
25-05-2024,Acute upper respiratory infection,8.4,Kids 2-4,2,4,FALSE
25-05-2024,Acute upper respiratory infection,3.7,Kids 5-17,5,17,FALSE
25-05-2024,Acute upper respiratory infection,1.4,Adults 18-49,18,49,FALSE
25-05-2024,Acute upper respiratory infection,0.9,Adults 50-64,50,64,FALSE
25-05-2024,Acute upper respiratory infection,0.6,Seniors 65+,65,,FALSE
25-05-2024,Acute upper respiratory infection,1.9,Overall,,,TRUE
01-06-2024,Acute upper respiratory infection,12.7,Infants 0-1,0,1,FALSE
01-06-2024,Acute upper respiratory infection,8.3,Kids 2-4,2,4,FALSE
01-06-2024,Acute upper respiratory infection,3.5,Kids 5-17,5,17,FALSE
01-06-2024,Acute upper respiratory infection,1.4,Adults 18-49,18,49,FALSE
01-06-2024,Acute upper respiratory infection,0.9,Adults 50-64,50,64,FALSE
01-06-2024,Acute upper respiratory infection,0.7,Seniors 65+,65,,FALSE
01-06-2024,Acute upper respiratory infection,1.9,Overall,,,TRUE
08-06-2024,Acute upper respiratory infection,11.6,Infants 0-1,0,1,FALSE
08-06-2024,Acute upper respiratory infection,7.4,Kids 2-4,2,4,FALSE
08-06-2024,Acute upper respiratory infection,3,Kids 5-17,5,17,FALSE
08-06-2024,Acute upper respiratory infection,1.2,Adults 18-49,18,49,FALSE
08-06-2024,Acute upper respiratory infection,0.8,Adults 50-64,50,64,FALSE
08-06-2024,Acute upper respiratory infection,0.6,Seniors 65+,65,,FALSE
08-06-2024,Acute upper respiratory infection,1.7,Overall,,,TRUE
15-06-2024,Acute upper respiratory infection,10.9,Infants 0-1,0,1,FALSE
15-06-2024,Acute upper respiratory infection,6.7,Kids 2-4,2,4,FALSE
15-06-2024,Acute upper respiratory infection,2.5,Kids 5-17,5,17,FALSE
15-06-2024,Acute upper respiratory infection,1.2,Adults 18-49,18,49,FALSE
15-06-2024,Acute upper respiratory infection,0.7,Adults 50-64,50,64,FALSE
15-06-2024,Acute upper respiratory infection,0.5,Seniors 65+,65,,FALSE
15-06-2024,Acute upper respiratory infection,1.5,Overall,,,TRUE
22-06-2024,Acute upper respiratory infection,10.1,Infants 0-1,0,1,FALSE
22-06-2024,Acute upper respiratory infection,6.4,Kids 2-4,2,4,FALSE
22-06-2024,Acute upper respiratory infection,2.2,Kids 5-17,5,17,FALSE
22-06-2024,Acute upper respiratory infection,1,Adults 18-49,18,49,FALSE
22-06-2024,Acute upper respiratory infection,0.7,Adults 50-64,50,64,FALSE
22-06-2024,Acute upper respiratory infection,0.5,Seniors 65+,65,,FALSE
22-06-2024,Acute upper respiratory infection,1.4,Overall,,,TRUE
29-06-2024,Acute upper respiratory infection,9,Infants 0-1,0,1,FALSE
29-06-2024,Acute upper respiratory infection,5.5,Kids 2-4,2,4,FALSE
29-06-2024,Acute upper respiratory infection,2,Kids 5-17,5,17,FALSE
29-06-2024,Acute upper respiratory infection,1,Adults 18-49,18,49,FALSE
29-06-2024,Acute upper respiratory infection,0.7,Adults 50-64,50,64,FALSE
29-06-2024,Acute upper respiratory infection,0.5,Seniors 65+,65,,FALSE
29-06-2024,Acute upper respiratory infection,1.2,Overall,,,TRUE
06-07-2024,Acute upper respiratory infection,9.1,Infants 0-1,0,1,FALSE
06-07-2024,Acute upper respiratory infection,5.3,Kids 2-4,2,4,FALSE
06-07-2024,Acute upper respiratory infection,2,Kids 5-17,5,17,FALSE
06-07-2024,Acute upper respiratory infection,1,Adults 18-49,18,49,FALSE
06-07-2024,Acute upper respiratory infection,0.6,Adults 50-64,50,64,FALSE
06-07-2024,Acute upper respiratory infection,0.5,Seniors 65+,65,,FALSE
06-07-2024,Acute upper respiratory infection,1.2,Overall,,,TRUE
13-07-2024,Acute upper respiratory infection,8.5,Infants 0-1,0,1,FALSE
13-07-2024,Acute upper respiratory infection,5.1,Kids 2-4,2,4,FALSE
13-07-2024,Acute upper respiratory infection,2,Kids 5-17,5,17,FALSE
13-07-2024,Acute upper respiratory infection,1,Adults 18-49,18,49,FALSE
13-07-2024,Acute upper respiratory infection,0.6,Adults 50-64,50,64,FALSE
13-07-2024,Acute upper respiratory infection,0.5,Seniors 65+,65,,FALSE
13-07-2024,Acute upper respiratory infection,1.2,Overall,,,TRUE
20-07-2024,Acute upper respiratory infection,8.4,Infants 0-1,0,1,FALSE
20-07-2024,Acute upper respiratory infection,4.9,Kids 2-4,2,4,FALSE
20-07-2024,Acute upper respiratory infection,1.9,Kids 5-17,5,17,FALSE
20-07-2024,Acute upper respiratory infection,1,Adults 18-49,18,49,FALSE
20-07-2024,Acute upper respiratory infection,0.7,Adults 50-64,50,64,FALSE
20-07-2024,Acute upper respiratory infection,0.5,Seniors 65+,65,,FALSE
20-07-2024,Acute upper respiratory infection,1.2,Overall,,,TRUE
27-07-2024,Acute upper respiratory infection,8.6,Infants 0-1,0,1,FALSE
27-07-2024,Acute upper respiratory infection,5.3,Kids 2-4,2,4,FALSE
27-07-2024,Acute upper respiratory infection,2,Kids 5-17,5,17,FALSE
27-07-2024,Acute upper respiratory infection,1.1,Adults 18-49,18,49,FALSE
27-07-2024,Acute upper respiratory infection,0.7,Adults 50-64,50,64,FALSE
27-07-2024,Acute upper respiratory infection,0.5,Seniors 65+,65,,FALSE
27-07-2024,Acute upper respiratory infection,1.3,Overall,,,TRUE
03-08-2024,Acute upper respiratory infection,9,Infants 0-1,0,1,FALSE
03-08-2024,Acute upper respiratory infection,5.3,Kids 2-4,2,4,FALSE
03-08-2024,Acute upper respiratory infection,2.1,Kids 5-17,5,17,FALSE
03-08-2024,Acute upper respiratory infection,1.1,Adults 18-49,18,49,FALSE
03-08-2024,Acute upper respiratory infection,0.7,Adults 50-64,50,64,FALSE
03-08-2024,Acute upper respiratory infection,0.5,Seniors 65+,65,,FALSE
03-08-2024,Acute upper respiratory infection,1.3,Overall,,,TRUE
10-08-2024,Acute upper respiratory infection,9.2,Infants 0-1,0,1,FALSE
10-08-2024,Acute upper respiratory infection,5.7,Kids 2-4,2,4,FALSE
10-08-2024,Acute upper respiratory infection,2.3,Kids 5-17,5,17,FALSE
10-08-2024,Acute upper respiratory infection,1.1,Adults 18-49,18,49,FALSE
10-08-2024,Acute upper respiratory infection,0.7,Adults 50-64,50,64,FALSE
10-08-2024,Acute upper respiratory infection,0.5,Seniors 65+,65,,FALSE
10-08-2024,Acute upper respiratory infection,1.3,Overall,,,TRUE
17-08-2024,Acute upper respiratory infection,9.6,Infants 0-1,0,1,FALSE
17-08-2024,Acute upper respiratory infection,6.4,Kids 2-4,2,4,FALSE
17-08-2024,Acute upper respiratory infection,3.1,Kids 5-17,5,17,FALSE
17-08-2024,Acute upper respiratory infection,1.2,Adults 18-49,18,49,FALSE
17-08-2024,Acute upper respiratory infection,0.7,Adults 50-64,50,64,FALSE
17-08-2024,Acute upper respiratory infection,0.5,Seniors 65+,65,,FALSE
17-08-2024,Acute upper respiratory infection,1.5,Overall,,,TRUE
24-08-2024,Acute upper respiratory infection,11.2,Infants 0-1,0,1,FALSE
24-08-2024,Acute upper respiratory infection,8.4,Kids 2-4,2,4,FALSE
24-08-2024,Acute upper respiratory infection,4.7,Kids 5-17,5,17,FALSE
24-08-2024,Acute upper respiratory infection,1.5,Adults 18-49,18,49,FALSE
24-08-2024,Acute upper respiratory infection,0.8,Adults 50-64,50,64,FALSE
24-08-2024,Acute upper respiratory infection,0.5,Seniors 65+,65,,FALSE
24-08-2024,Acute upper respiratory infection,1.9,Overall,,,TRUE
31-08-2024,Acute upper respiratory infection,12.6,Infants 0-1,0,1,FALSE
31-08-2024,Acute upper respiratory infection,9.5,Kids 2-4,2,4,FALSE
31-08-2024,Acute upper respiratory infection,5.5,Kids 5-17,5,17,FALSE
31-08-2024,Acute upper respiratory infection,1.6,Adults 18-49,18,49,FALSE
31-08-2024,Acute upper respiratory infection,0.8,Adults 50-64,50,64,FALSE
31-08-2024,Acute upper respiratory infection,0.5,Seniors 65+,65,,FALSE
31-08-2024,Acute upper respiratory infection,2.2,Overall,,,TRUE
07-09-2024,Acute upper respiratory infection,13.4,Infants 0-1,0,1,FALSE
07-09-2024,Acute upper respiratory infection,9.7,Kids 2-4,2,4,FALSE
07-09-2024,Acute upper respiratory infection,5.2,Kids 5-17,5,17,FALSE
07-09-2024,Acute upper respiratory infection,1.7,Adults 18-49,18,49,FALSE
07-09-2024,Acute upper respiratory infection,0.9,Adults 50-64,50,64,FALSE
07-09-2024,Acute upper respiratory infection,0.6,Seniors 65+,65,,FALSE
07-09-2024,Acute upper respiratory infection,2.3,Overall,,,TRUE
14-09-2024,Acute upper respiratory infection,13.1,Infants 0-1,0,1,FALSE
14-09-2024,Acute upper respiratory infection,9.9,Kids 2-4,2,4,FALSE
14-09-2024,Acute upper respiratory infection,5.1,Kids 5-17,5,17,FALSE
14-09-2024,Acute upper respiratory infection,1.7,Adults 18-49,18,49,FALSE
14-09-2024,Acute upper respiratory infection,0.9,Adults 50-64,50,64,FALSE
14-09-2024,Acute upper respiratory infection,0.6,Seniors 65+,65,,FALSE
14-09-2024,Acute upper respiratory infection,2.3,Overall,,,TRUE
21-09-2024,Acute upper respiratory infection,13.4,Infants 0-1,0,1,FALSE
21-09-2024,Acute upper respiratory infection,10.4,Kids 2-4,2,4,FALSE
21-09-2024,Acute upper respiratory infection,5.1,Kids 5-17,5,17,FALSE
21-09-2024,Acute upper respiratory infection,1.7,Adults 18-49,18,49,FALSE
21-09-2024,Acute upper respiratory infection,0.9,Adults 50-64,50,64,FALSE
21-09-2024,Acute upper respiratory infection,0.6,Seniors 65+,65,,FALSE
21-09-2024,Acute upper respiratory infection,2.3,Overall,,,TRUE
28-09-2024,Acute upper respiratory infection,13.4,Infants 0-1,0,1,FALSE
28-09-2024,Acute upper respiratory infection,10.5,Kids 2-4,2,4,FALSE
